performerId,name,shortName,type,performer_score,performer_popularity,homeVenueId,isEvent,divisionName,divisionShortName,taxonomyName,taxonomySubName,performer_popularity_level,has_home_venue
799643,Green Bay Packers Tailgates,Green Bay Packers Tailgates,nfl,0.37,4,Unknown,True,No Division,No Division,sports,football,Low,0
1964948,Washington Commanders Tailgates,Washington Commanders Tailgates,nfl,0.39,28,Unknown,True,No Division,No Division,sports,football,Low,0
1964946,New Orleans Saints Tailgates,New Orleans Saints Tailgates,nfl,0.37,2,Unknown,True,No Division,No Division,sports,football,Low,0
792442,Seattle Seahawks Tailgate,Seattle Seahawks Tailgate,nfl,0.3,24,Unknown,True,No Division,No Division,sports,football,Low,0
804528,NBA Cup,NBA Cup,nba,0.69,41384,161601.0,True,No Division,No Division,sports,basketball,Medium,1
1964945,Dallas Cowboys Tailgates,Dallas Cowboys Tailgates,nfl,0.42,262,Unknown,True,No Division,No Division,sports,football,Low,0
1964944,Arizona Cardinals Tailgates,Arizona Cardinals Tailgates,nfl,0.37,317,Unknown,True,No Division,No Division,sports,football,Low,0
1955179,Pregame Party at Heritage,Pregame Party at Heritage,nfl,0.56,1303,43.0,True,No Division,No Division,sports,football,Low,1
807543,AT&T Stadium Art Tour,AT&T Stadium Art Tour,stadium_tours,0.35,316,Unknown,False,No Division,No Division,sports,football,Low,0
1957841,Arizona Fall League Championship,Arizona Fall League Championship,baseball,0.3,192,Unknown,True,No Division,No Division,sports,baseball,Low,0
1957842,Arizona Fall League,Arizona Fall League,baseball,0.33,192,Unknown,False,No Division,No Division,sports,baseball,Low,0
1957839,Arizona Fall League Fall Stars Game,Arizona Fall League Fall Stars Game,baseball,0.31,205,Unknown,True,No Division,No Division,sports,baseball,Low,0
1957838,Arizona Fall League Home Run Derby,Arizona Fall League Home Run Derby,baseball,0.34,278,Unknown,True,No Division,No Division,sports,baseball,Low,0
257280,MLB World Series,MLB World Series,mlb,0.95,6170041,Unknown,True,No Division,No Division,sports,baseball,Elite,0
793010,MLB Postseason,MLB Postseason,mlb,0.88,6170041,Unknown,True,No Division,No Division,sports,baseball,Elite,0
792987,ALCS,ALCS,mlb,0.83,706838,Unknown,True,No Division,No Division,sports,baseball,Elite,0
792974,NLCS,NLCS,mlb,0.83,4200365,Unknown,True,No Division,No Division,sports,baseball,Elite,0
1964866,Guangzhou Loong Lions,Guangzhou Loong Lions,basketball,0.49,674,Unknown,False,No Division,No Division,sports,basketball,Low,0
792986,NLDS,NLDS,mlb,0.86,4031758,Unknown,True,No Division,No Division,sports,baseball,Elite,0
792985,ALDS,ALDS,mlb,0.83,569710,Unknown,True,No Division,No Division,sports,baseball,Elite,0
